"Category","Filename","SizeMB","SHA256","RelativePath"
"baselines","ckpt_B2b_GRU_seed2025.pth","1.8","53508CA6DE70C9BADA1DE46B19F69CAC162D57FE44CD1F54FE1EFAABCF951549","models\baselines\ckpt_B2b_GRU_seed2025.pth"
"baselines","ckpt_B2b_GRU_seed42.pth","1.8","22A848D9620ED5C261718CF4D001588F3DD9544AEF2802603FE0D18331463CD4","models\baselines\ckpt_B2b_GRU_seed42.pth"
"baselines","ckpt_B2b_GRU_seed777.pth","1.8","A9BD32737724AB1413171C86B7A662C3CF528BCE34CC0B466757F979A4F14A1D","models\baselines\ckpt_B2b_GRU_seed777.pth"
"baselines","ckpt_B2b_GRU_seed999.pth","1.8","07BC1B9EA94BB1AE9E74A949624E2244045566092F7DF5ED92E005C805902CB6","models\baselines\ckpt_B2b_GRU_seed999.pth"
"baselines","ckpt_B2_EmbLSTM_seed123.pth","2.17","B989908FFFA091BC92018AA131C2915DAB657729C8688A4BBFA45CE1A4179051","models\baselines\ckpt_B2_EmbLSTM_seed123.pth"
"baselines","ckpt_B2_EmbLSTM_seed2025.pth","2.17","461C6202084809D340FC2FBB259A8B6F2602BE4B0891608C9E3D0E75C600FDC8","models\baselines\ckpt_B2_EmbLSTM_seed2025.pth"
"baselines","ckpt_B2_EmbLSTM_seed42.pth","2.17","70A17B618E432974ADEF69226E448C96774023A1D51CC205D81E2D7A74196BE6","models\baselines\ckpt_B2_EmbLSTM_seed42.pth"
"baselines","ckpt_B2_EmbLSTM_seed777.pth","2.17","FB0071CC43338F19054582CCD5E7535AFE35E0873AE0651CFD6564AF099B6A81","models\baselines\ckpt_B2_EmbLSTM_seed777.pth"
"baselines","ckpt_B2_EmbLSTM_seed999.pth","2.17","B03C5972950A74EAAA2AC9BDD51CD9B76F12DD64A2FB7C0BEC22642B65C497FD","models\baselines\ckpt_B2_EmbLSTM_seed999.pth"
"baselines","ckpt_B3_TCN_seed123.pth","5.18","0E55149FE18E129DF47C5A51F32C42286E9E4195D119E28119530C5AD68E7872","models\baselines\ckpt_B3_TCN_seed123.pth"
"baselines","ckpt_B3_TCN_seed2025.pth","5.18","4E27F9DACEE28C5BF1E1CCF10C86F2B308E1AAFA854374CA7C406869AA1ECB30","models\baselines\ckpt_B3_TCN_seed2025.pth"
"baselines","ckpt_B3_TCN_seed42.pth","5.18","EBDA9E2DF96C2A7D288FF008427835CD70F74792A75F9DAB2895DD7639AB32AF","models\baselines\ckpt_B3_TCN_seed42.pth"
"baselines","ckpt_B3_TCN_seed777.pth","5.18","986F5EBFED82B25B2C9BB2491AE9FC01CF2CF22CBE606282887357A2F73E7922","models\baselines\ckpt_B3_TCN_seed777.pth"
"baselines","ckpt_B3_TCN_seed999.pth","5.18","79E9A18B4DB38DDBE1D0746F1F91E3DC7ADA5773563D4C074EB216C42C686B4B","models\baselines\ckpt_B3_TCN_seed999.pth"
"baselines","ckpt_B4_Transformer_seed123.pth","8.79","F75268090D4CA95092708D1FA733C1B4127ECE91FB9FFEAAFB7F0401E8477CD6","models\baselines\ckpt_B4_Transformer_seed123.pth"
"baselines","ckpt_B4_Transformer_seed2025.pth","8.79","8C7E71D0958BA357F0FF8CDAC8132DC64886F41C77207A268F1B84329C62648B","models\baselines\ckpt_B4_Transformer_seed2025.pth"
"baselines","ckpt_B4_Transformer_seed42.pth","8.79","514546C99D37CCD0248D4B54AB35FFD351A91DD08FFDD20A371DE84C7268FF77","models\baselines\ckpt_B4_Transformer_seed42.pth"
"baselines","ckpt_B4_Transformer_seed777.pth","8.79","D4D67376A1B3682A08A6D35FF4275AF438F712FBD07D25B238ED5259CF9B9D23","models\baselines\ckpt_B4_Transformer_seed777.pth"
"baselines","ckpt_B4_Transformer_seed999.pth","8.79","2714176A2599C890809E9AAE5329FFB1747EB827559EFD259BAC6FE2868BD536","models\baselines\ckpt_B4_Transformer_seed999.pth"
"baselines","ckpt_B5_NoTemporal_seed123.pth","0.2","3E3F457AC6FA3C6011FFA6310768EE5D6B94D84416FBB4BA5B5E833366821A4F","models\baselines\ckpt_B5_NoTemporal_seed123.pth"
"baselines","ckpt_B5_NoTemporal_seed2025.pth","0.2","2DE41A22EA6A0B09056CDD1F18462CC461D02E3059100744DD35FD09632CBFB7","models\baselines\ckpt_B5_NoTemporal_seed2025.pth"
"baselines","ckpt_B5_NoTemporal_seed42.pth","0.2","998EA8AAE3DACBFAD7E4B9D9AADEE13B4639C2AEE19AAD1FF6F4F61C9661561D","models\baselines\ckpt_B5_NoTemporal_seed42.pth"
"baselines","ckpt_B5_NoTemporal_seed777.pth","0.2","9210857C8E6A3CD52AE88C13E06397532F1F2D9F323D022A8CCB0FC1D185BDFD","models\baselines\ckpt_B5_NoTemporal_seed777.pth"
"baselines","ckpt_B5_NoTemporal_seed999.pth","0.2","D94CD09AAD7096FF04F23FD9A1D800105E4487F1B47AC8D98F61DA25C8BBA664","models\baselines\ckpt_B5_NoTemporal_seed999.pth"
"core","best_coral_v10.pth","0.88","5DEC77628229EB151E09ADE494ABE843FC5F6E476EC282B420BDB974ADE1305B","models\core\best_coral_v10.pth"
"core","best_prognosis_net_v10.pth","8.44","336736AFA275E2171254FB387C4C1C1690FE8778ED0B81109DE587918BE40BA8","models\core\best_prognosis_net_v10.pth"
"core","best_segnet_v8.pth","36.2","67833E656B5FEA00D306402234F499F32BFE31FCEAECA630EF714A248BB8EFEC","models\core\best_segnet_v8.pth"
"core","best_severity_net_v10.pth","0.99","0211D2961083C3A6A5F3F1467070673F48F124CAA7D2D95C79E2C841652E0469","models\core\best_severity_net_v10.pth"
"core","best_visual_model_v10.pth","107.9","E051F8A0A9312DCB8AA889848BA4F03750EB5BB7D83C190834AA406FED8F202E","models\core\best_visual_model_v10.pth"
"core","checkpoint_prognosis_v10.pth","33.67","58908951D7095C42F41CD2533E2C1C9488BE46D016246EC73EF6EF14E64C3D37","models\core\checkpoint_prognosis_v10.pth"
"core","checkpoint_segnet_v8.pth","107.94","10D58562E96CE51EA51536237BE0E0A9A5E2B36930482DB1CFABE54B9B62F2D4","models\core\checkpoint_segnet_v8.pth"
"core","coral_ckpt_v10.pth","3.51","7B087E38E0CC21B744CC255F90286ACA0FCB719C53170BA22FD27A14352CD74B","models\core\coral_ckpt_v10.pth"
"core","sev_ckpt_v10.pth","0.99","B2F9332210FAD8937CB27BEFD2FEE45DDCB25CFA27605BBE5A55A7F615CE370F","models\core\sev_ckpt_v10.pth"
"core","vis_ckpt_v10.pth","107.9","62165C8758817CD070EF407454C2BD24B993368FFBF119C1A7C29E1E1301EA77","models\core\vis_ckpt_v10.pth"
"proposed","best_prognosis_net_v10_seed123.pth","8.6","DF4C4BAB2D375F5634119A5D522AA3A845E9F15D9584C190BC9CCB873C2A3F24","models\proposed\best_prognosis_net_v10_seed123.pth"
"proposed","best_prognosis_net_v10_seed2025.pth","8.6","61AB3394012FDC23D6E395F79E863F00A5FD9E2049B0862A3428287CFC107BFF","models\proposed\best_prognosis_net_v10_seed2025.pth"
"proposed","best_prognosis_net_v10_seed42.pth","8.6","E139E6D8946F21F42C910BB573C2AA77E04383AB1A337D2575484FE52AFBECB5","models\proposed\best_prognosis_net_v10_seed42.pth"
"proposed","best_prognosis_net_v10_seed777.pth","8.6","AD57DE05FCCA67E714839B8FD485DEDCBE986F5C0938DED949D13BA974516826","models\proposed\best_prognosis_net_v10_seed777.pth"
"proposed","best_prognosis_net_v10_seed999.pth","8.6","7CB94243B5671BD64382DAF37C3586967C081A00CC34C1642CB8D5D82F6E2AD9","models\proposed\best_prognosis_net_v10_seed999.pth"
