"RelativePath","Name","Extension","Length","SizeMB"
"archive\v10_original\class_distribution.csv","class_distribution.csv",".csv","3125","0"
"archive\v10_original\cls_eval_splits_v10.csv","cls_eval_splits_v10.csv",".csv","108","0"
"archive\v10_original\coffee_sequences_v10.csv","coffee_sequences_v10.csv",".csv","1578281","1.51"
"archive\v10_original\coffee_v10.csv","coffee_v10.csv",".csv","883584","0.84"
"archive\v10_original\conformal_quantiles_v10.pkl","conformal_quantiles_v10.pkl",".pkl","49","0"
"archive\v10_original\coral_ckpt_v10.pth","coral_ckpt_v10.pth",".pth","3684712","3.51"
"archive\v10_original\coral_prob_cf_v10.npy","coral_prob_cf_v10.npy",".npy","6088","0.01"
"archive\v10_original\coral_prob_te_v10.npy","coral_prob_te_v10.npy",".npy","18688","0.02"
"archive\v10_original\coral_prob_tr_v10.npy","coral_prob_tr_v10.npy",".npy","83828","0.08"
"archive\v10_original\coral_prob_va_v10.npy","coral_prob_va_v10.npy",".npy","18088","0.02"
"archive\v10_original\coral_sev_cf_v10.npy","coral_sev_cf_v10.npy",".npy","1320","0"
"archive\v10_original\coral_sev_te_v10.npy","coral_sev_te_v10.npy",".npy","3840","0"
"archive\v10_original\coral_sev_tr_v10.npy","coral_sev_tr_v10.npy",".npy","16868","0.02"
"archive\v10_original\coral_sev_va_v10.npy","coral_sev_va_v10.npy",".npy","3720","0"
"archive\v10_original\curve_residuals_v10.pkl","curve_residuals_v10.pkl",".pkl","5326","0.01"
"archive\v10_original\detailed_predictions_test.csv","detailed_predictions_test.csv",".csv","3074854","2.93"
"archive\v10_original\eligible_classes.csv","eligible_classes.csv",".csv","3326","0"
"archive\v10_original\failure_analysis_report.csv","failure_analysis_report.csv",".csv","775","0"
"archive\v10_original\gsev_model_v10.pkl","gsev_model_v10.pkl",".pkl","8865","0.01"
"archive\v10_original\predictions_test_v10.csv","predictions_test_v10.csv",".csv","59521","0.06"
"archive\v10_original\predictions_val_v10.csv","predictions_val_v10.csv",".csv","56207","0.05"
"archive\v10_original\prognosis_classes_v10.pkl","prognosis_classes_v10.pkl",".pkl","576","0"
"archive\v10_original\prognosis_master.csv","prognosis_master.csv",".csv","4302132","4.1"
"archive\v10_original\prognosis_metrics_v10.csv","prognosis_metrics_v10.csv",".csv","662","0"
"archive\v10_original\prognosis_training_curves_v10.png","prognosis_training_curves_v10.png",".png","132357","0.13"
"archive\v10_original\prognosis_train_log_v10.csv","prognosis_train_log_v10.csv",".csv","2715","0"
"archive\v10_original\robustness_metrics_v10.csv","robustness_metrics_v10.csv",".csv","233","0"
"archive\v10_original\seg_training_curves_v8.png","seg_training_curves_v8.png",".png","194319","0.19"
"archive\v10_original\sequence_augmentation_stats_v10.csv","sequence_augmentation_stats_v10.csv",".csv","90","0"
"archive\v10_original\severity_distributions_proxy_v10.png","severity_distributions_proxy_v10.png",".png","138519","0.13"
"archive\v10_original\severity_statistics.csv","severity_statistics.csv",".csv","10159","0.01"
"archive\v10_original\sev_ckpt_v10.pth","sev_ckpt_v10.pth",".pth","1040617","0.99"
"archive\v10_original\table1_baseline_comparison.csv","table1_baseline_comparison.csv",".csv","733","0"
"archive\v10_original\table2_ablation_study.csv","table2_ablation_study.csv",".csv","646","0"
"archive\v10_original\table3_efficiency_metrics.csv","table3_efficiency_metrics.csv",".csv","538","0"
"archive\v10_original\table4_cross_domain.csv","table4_cross_domain.csv",".csv","73","0"
"archive\v10_original\table5_severity_wise.csv","table5_severity_wise.csv",".csv","219","0"
"archive\v10_original\test_metrics_segnet_v8.csv","test_metrics_segnet_v8.csv",".csv","109","0"
"archive\v10_original\test_sequences_v10.csv","test_sequences_v10.csv",".csv","11988486","11.43"
"archive\v10_original\test_v10.csv","test_v10.csv",".csv","4757437","4.54"
"archive\v10_original\top10_severity_distributions.png","top10_severity_distributions.png",".png","213417","0.2"
"archive\v10_original\training_log_segnet_v8.csv","training_log_segnet_v8.csv",".csv","9376","0.01"
"archive\v10_original\train_sequences_v10.csv","train_sequences_v10.csv",".csv","129827084","123.81"
"archive\v10_original\train_v10.csv","train_v10.csv",".csv","21601133","20.6"
"archive\v10_original\val_sequences_v10.csv","val_sequences_v10.csv",".csv","11441769","10.91"
"archive\v10_original\val_v10.csv","val_v10.csv",".csv","4628964","4.41"
"archive\v10_original\vis_cf_v10.npy","vis_cf_v10.npy",".npy","610432","0.58"
"archive\v10_original\vis_ckpt_v10.pth","vis_ckpt_v10.pth",".pth","113138311","107.9"
"archive\v10_original\vis_fold0_tmp_v10.pth","vis_fold0_tmp_v10.pth",".pth","113193067","107.95"
"archive\v10_original\vis_fold1_tmp_v10.pth","vis_fold1_tmp_v10.pth",".pth","113192875","107.95"
"archive\v10_original\vis_fold2_tmp_v10.pth","vis_fold2_tmp_v10.pth",".pth","113192939","107.95"
"archive\v10_original\vis_fold3_tmp_v10.pth","vis_fold3_tmp_v10.pth",".pth","113192875","107.95"
"archive\v10_original\vis_fold4_tmp_v10.pth","vis_fold4_tmp_v10.pth",".pth","113192875","107.95"
"archive\v10_original\vis_te_v10.npy","vis_te_v10.npy",".npy","1900672","1.81"
"archive\v10_original\vis_tr_v10.npy","vis_tr_v10.npy",".npy","8571008","8.17"
"archive\v10_original\vis_va_v10.npy","vis_va_v10.npy",".npy","1839232","1.75"
"archive\v10_original\__huggingface_repos__.json","__huggingface_repos__.json",".json","333","0"
"archive\v10_original\elsevier_figures\Fig10_UncertaintyCalibration.png","Fig10_UncertaintyCalibration.png",".png","445550","0.42"
"archive\v10_original\elsevier_figures\Fig1_Pipeline.png","Fig1_Pipeline.png",".png","603522","0.58"
"archive\v10_original\elsevier_figures\Fig2_PseudoTemporal.png","Fig2_PseudoTemporal.png",".png","497620","0.47"
"archive\v10_original\elsevier_figures\Fig3_TrainingCurves.png","Fig3_TrainingCurves.png",".png","256339","0.24"
"archive\v10_original\elsevier_figures\Fig4_ForecastUncertainty.png","Fig4_ForecastUncertainty.png",".png","169365","0.16"
"archive\v10_original\elsevier_figures\Fig5_ConformalCoverage.png","Fig5_ConformalCoverage.png",".png","219564","0.21"
"archive\v10_original\elsevier_figures\Fig6_BaselineComparison.png","Fig6_BaselineComparison.png",".png","206576","0.2"
"archive\v10_original\elsevier_figures\Fig7_AblationStudy.png","Fig7_AblationStudy.png",".png","160137","0.15"
"archive\v10_original\elsevier_figures\Fig8_RobustnessHeatmap.png","Fig8_RobustnessHeatmap.png",".png","381045","0.36"
"archive\v10_original\elsevier_figures\Fig9_FailureCases.png","Fig9_FailureCases.png",".png","359395","0.34"
"archive\v10_original\elsevier_figures\figure_captions.txt","figure_captions.txt",".txt","518","0"
"archive\v10_original\elsevier_figures\GraphicalAbstract.png","GraphicalAbstract.png",".png","104908","0.1"
"archive\v10_original\elsevier_figures\highlights_agro_doctor.txt","highlights_agro_doctor.txt",".txt","418","0"
"archive\v10_original\elsevier_figures\submission_checklist.txt","submission_checklist.txt",".txt","30","0"
"archive\v10_original\part2_eda_v10\fig_composite_severity_v10.pdf","fig_composite_severity_v10.pdf",".pdf","111819","0.11"
"archive\v10_original\part2_eda_v10\fig_eligibility_quality_v10.pdf","fig_eligibility_quality_v10.pdf",".pdf","17055","0.02"
"archive\v10_original\part2_eda_v10\fig_feature_analysis_v10.pdf","fig_feature_analysis_v10.pdf",".pdf","28647","0.03"
"archive\v10_original\part2_eda_v10\fig_multiscale_delta_v10.pdf","fig_multiscale_delta_v10.pdf",".pdf","18724","0.02"
"archive\v10_original\part2_eda_v10\fig_seq_augmentation_v10.pdf","fig_seq_augmentation_v10.pdf",".pdf","46525","0.04"
"archive\v10_original\part2_eda_v10\fig_tsne_vis_emb_v10.pdf","fig_tsne_vis_emb_v10.pdf",".pdf","51626","0.05"
"archive\v10_original\part2_eda_v10\gradcam\gradcam_analysis.png","gradcam_analysis.png",".png","6734455","6.42"
"configs\README.md","README.md",".md","337","0"
"data\README.md","README.md",".md","365","0"
"data\manifests\__huggingface_repos__.json","__huggingface_repos__.json",".json","333","0"
"data\processed\coffee\coffee_sequences_v10.csv","coffee_sequences_v10.csv",".csv","1578281","1.51"
"data\processed\coffee\coffee_v10.csv","coffee_v10.csv",".csv","883584","0.84"
"data\processed\prognosis\prognosis_classes_v10.pkl","prognosis_classes_v10.pkl",".pkl","576","0"
"data\processed\prognosis\prognosis_master.csv","prognosis_master.csv",".csv","4302132","4.1"
"data\processed\splits\cls_eval_splits_v10.csv","cls_eval_splits_v10.csv",".csv","108","0"
"data\processed\splits\test_sequences_v10.csv","test_sequences_v10.csv",".csv","11988486","11.43"
"data\processed\splits\test_v10.csv","test_v10.csv",".csv","4757437","4.54"
"data\processed\splits\train_sequences_v10.csv","train_sequences_v10.csv",".csv","129827084","123.81"
"data\processed\splits\train_v10.csv","train_v10.csv",".csv","21601133","20.6"
"data\processed\splits\val_sequences_v10.csv","val_sequences_v10.csv",".csv","11441769","10.91"
"data\processed\splits\val_v10.csv","val_v10.csv",".csv","4628964","4.41"
"docs\notebook_inventory.json","notebook_inventory.json",".json","947","0"
"docs\reproducibility.md","reproducibility.md",".md","1578","0"
"docs\v10_repository_inventory.csv","v10_repository_inventory.csv",".csv","0","0"
"docs\v10_source_inventory.csv","v10_source_inventory.csv",".csv","14018","0.01"
"figures\README.md","README.md",".md","205","0"
"figures\eda\fig_composite_severity_v10.pdf","fig_composite_severity_v10.pdf",".pdf","111819","0.11"
"figures\eda\fig_eligibility_quality_v10.pdf","fig_eligibility_quality_v10.pdf",".pdf","17055","0.02"
"figures\eda\fig_feature_analysis_v10.pdf","fig_feature_analysis_v10.pdf",".pdf","28647","0.03"
"figures\eda\fig_multiscale_delta_v10.pdf","fig_multiscale_delta_v10.pdf",".pdf","18724","0.02"
"figures\eda\fig_seq_augmentation_v10.pdf","fig_seq_augmentation_v10.pdf",".pdf","46525","0.04"
"figures\eda\fig_tsne_vis_emb_v10.pdf","fig_tsne_vis_emb_v10.pdf",".pdf","51626","0.05"
"figures\eda\gradcam\gradcam_analysis.png","gradcam_analysis.png",".png","6734455","6.42"
"models\README.md","README.md",".md","380","0"
"models\checkpoints\ablations\no_cbam\ckpt_Abl_NoCBAM_seed123.pth","ckpt_Abl_NoCBAM_seed123.pth",".pth","8967647","8.55"
"models\checkpoints\ablations\no_cbam\ckpt_Abl_NoCBAM_seed2025.pth","ckpt_Abl_NoCBAM_seed2025.pth",".pth","8967729","8.55"
"models\checkpoints\ablations\no_cbam\ckpt_Abl_NoCBAM_seed42.pth","ckpt_Abl_NoCBAM_seed42.pth",".pth","8967565","8.55"
"models\checkpoints\ablations\no_cbam\ckpt_Abl_NoCBAM_seed777.pth","ckpt_Abl_NoCBAM_seed777.pth",".pth","8967647","8.55"
"models\checkpoints\ablations\no_cbam\ckpt_Abl_NoCBAM_seed999.pth","ckpt_Abl_NoCBAM_seed999.pth",".pth","8967647","8.55"
"models\checkpoints\ablations\no_coral\ckpt_Abl_NoCORAL_seed123.pth","ckpt_Abl_NoCORAL_seed123.pth",".pth","8770049","8.36"
"models\checkpoints\ablations\no_coral\ckpt_Abl_NoCORAL_seed2025.pth","ckpt_Abl_NoCORAL_seed2025.pth",".pth","8770123","8.36"
"models\checkpoints\ablations\no_coral\ckpt_Abl_NoCORAL_seed42.pth","ckpt_Abl_NoCORAL_seed42.pth",".pth","8769975","8.36"
"models\checkpoints\ablations\no_coral\ckpt_Abl_NoCORAL_seed777.pth","ckpt_Abl_NoCORAL_seed777.pth",".pth","8770049","8.36"
"models\checkpoints\ablations\no_coral\ckpt_Abl_NoCORAL_seed999.pth","ckpt_Abl_NoCORAL_seed999.pth",".pth","8770049","8.36"
"models\checkpoints\ablations\no_cross_attention\ckpt_Abl_NoCrossAttn_seed123.pth","ckpt_Abl_NoCrossAttn_seed123.pth",".pth","4801789","4.58"
"models\checkpoints\ablations\no_cross_attention\ckpt_Abl_NoCrossAttn_seed2025.pth","ckpt_Abl_NoCrossAttn_seed2025.pth",".pth","4801857","4.58"
"models\checkpoints\ablations\no_cross_attention\ckpt_Abl_NoCrossAttn_seed42.pth","ckpt_Abl_NoCrossAttn_seed42.pth",".pth","4801721","4.58"
"models\checkpoints\ablations\no_cross_attention\ckpt_Abl_NoCrossAttn_seed777.pth","ckpt_Abl_NoCrossAttn_seed777.pth",".pth","4801789","4.58"
"models\checkpoints\ablations\no_cross_attention\ckpt_Abl_NoCrossAttn_seed999.pth","ckpt_Abl_NoCrossAttn_seed999.pth",".pth","4801789","4.58"
"models\checkpoints\ablations\no_monotonicity\ckpt_Abl_NoMonotonicity_seed123.pth","ckpt_Abl_NoMonotonicity_seed123.pth",".pth","9022531","8.6"
"models\checkpoints\ablations\no_monotonicity\ckpt_Abl_NoMonotonicity_seed2025.pth","ckpt_Abl_NoMonotonicity_seed2025.pth",".pth","9022617","8.6"
"models\checkpoints\ablations\no_monotonicity\ckpt_Abl_NoMonotonicity_seed42.pth","ckpt_Abl_NoMonotonicity_seed42.pth",".pth","9022445","8.6"
"models\checkpoints\ablations\no_monotonicity\ckpt_Abl_NoMonotonicity_seed777.pth","ckpt_Abl_NoMonotonicity_seed777.pth",".pth","9022531","8.6"
"models\checkpoints\ablations\no_monotonicity\ckpt_Abl_NoMonotonicity_seed999.pth","ckpt_Abl_NoMonotonicity_seed999.pth",".pth","9022531","8.6"
"models\checkpoints\ablations\no_sequence_augmentation\ckpt_Abl_NoSeqAug_seed123.pth","ckpt_Abl_NoSeqAug_seed123.pth",".pth","9022015","8.6"
"models\checkpoints\ablations\no_sequence_augmentation\ckpt_Abl_NoSeqAug_seed2025.pth","ckpt_Abl_NoSeqAug_seed2025.pth",".pth","9022101","8.6"
"models\checkpoints\ablations\no_sequence_augmentation\ckpt_Abl_NoSeqAug_seed42.pth","ckpt_Abl_NoSeqAug_seed42.pth",".pth","9021929","8.6"
"models\checkpoints\ablations\no_sequence_augmentation\ckpt_Abl_NoSeqAug_seed777.pth","ckpt_Abl_NoSeqAug_seed777.pth",".pth","9022015","8.6"
"models\checkpoints\ablations\no_sequence_augmentation\ckpt_Abl_NoSeqAug_seed999.pth","ckpt_Abl_NoSeqAug_seed999.pth",".pth","9022015","8.6"
"models\checkpoints\ablations\no_visual_delta\ckpt_Abl_NoVisDelta_seed123.pth","ckpt_Abl_NoVisDelta_seed123.pth",".pth","8891115","8.48"
"models\checkpoints\ablations\no_visual_delta\ckpt_Abl_NoVisDelta_seed2025.pth","ckpt_Abl_NoVisDelta_seed2025.pth",".pth","8891201","8.48"
"models\checkpoints\ablations\no_visual_delta\ckpt_Abl_NoVisDelta_seed42.pth","ckpt_Abl_NoVisDelta_seed42.pth",".pth","8891029","8.48"
"models\checkpoints\ablations\no_visual_delta\ckpt_Abl_NoVisDelta_seed777.pth","ckpt_Abl_NoVisDelta_seed777.pth",".pth","8891115","8.48"
"models\checkpoints\ablations\no_visual_delta\ckpt_Abl_NoVisDelta_seed999.pth","ckpt_Abl_NoVisDelta_seed999.pth",".pth","8891115","8.48"
"models\checkpoints\ablations\proposed_no_coffee\ckpt_Proposed_NoCoffee_seed123.pth","ckpt_Proposed_NoCoffee_seed123.pth",".pth","9022445","8.6"
"models\checkpoints\ablations\proposed_no_coffee\ckpt_Proposed_NoCoffee_seed2025.pth","ckpt_Proposed_NoCoffee_seed2025.pth",".pth","9022531","8.6"
"models\checkpoints\ablations\proposed_no_coffee\ckpt_Proposed_NoCoffee_seed42.pth","ckpt_Proposed_NoCoffee_seed42.pth",".pth","9022359","8.6"
"models\checkpoints\ablations\proposed_no_coffee\ckpt_Proposed_NoCoffee_seed777.pth","ckpt_Proposed_NoCoffee_seed777.pth",".pth","9022445","8.6"
"models\checkpoints\ablations\proposed_no_coffee\ckpt_Proposed_NoCoffee_seed999.pth","ckpt_Proposed_NoCoffee_seed999.pth",".pth","9022445","8.6"
